amp_neuron,input_nbr,tau_in,tau_out,alpha_p,alpha_n,beta_p,beta_n,tau_pre,tau_post,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,gain_in,gain_out,accuracy,accuracy_2,bias_out,seed
0.01,60000.0,0.03,0.03,0.7,0.01,1.4,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,28.59,30.51,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,1.4,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,9.8,0.0,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,1.4,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,35.260000000000005,35.78,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,0.8,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,16.28,16.42,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,0.8,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,9.8,0.0,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,0.8,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,24.15,28.89,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,1.2,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,19.869999999999997,21.43,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,1.2,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,9.8,0.0,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.01,1.2,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,34.17,35.22,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,1.4,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,24.2,27.23,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,1.4,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,26.939999999999998,28.2,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,1.4,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,25.61,29.54,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,0.8,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,25.45,26.98,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,0.8,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,26.69,28.0,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,0.8,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,26.07,28.76,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,1.2,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,26.009999999999998,27.8,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,1.2,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,23.200000000000003,25.47,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.005,1.2,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,18.93,19.78,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.02,1.4,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,9.8,0.0,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.02,1.4,0.8,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,9.8,0.0,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.02,1.4,1.2,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,9.8,0.0,0.0,100.0
0.01,60000.0,0.03,0.03,0.7,0.02,0.8,1.0,0.1,0.12,1.0,0.2,0.1,0.005,10.0,10.0,0.005,0.005,0.01,1.0,0.005,4.0,,9.8,0.0,0.0,100.0
