vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,accuracy,accuracy_2,seed
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,0.0,2.0,26.0,0.14,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,0.0,4.0,28.999999999999996,0.14,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,0.0,6.0,43.0,0.16,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,0.0,8.0,23.0,0.1,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,1.0,0.0,2.0,-3.0,0.0,2.0,30.0,0.14,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,1.0,0.0,2.0,-3.0,0.0,4.0,34.0,0.12,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,1.0,0.0,2.0,-3.0,0.0,6.0,36.0,0.14,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.005,10.0,10.0,0.002,,1.0,0.0,2.0,-3.0,0.0,8.0,18.0,0.14,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,0.0,2.0,22.0,0.13,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.35,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,0.0,4.0,33.0,0.15,100.0
