vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,noise_input,accuracy,accuracy_2,seed
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,1.0,2.0,0.0,6.5,11.52,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,1.0,4.0,0.0,6.950000000000001,11.09,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,1.0,2.0,0.0,5.87,11.94,100.0
-0.55,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,1.0,4.0,0.0,6.52,10.61,100.0
-0.55,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,1.0,2.0,0.0,7.62,12.82,100.0
-0.55,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,1.0,4.0,0.0,6.52,10.74,100.0
-0.55,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,1.0,2.0,0.0,5.21,11.35,100.0
-0.55,0.5,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.01,,0.5,0.0,2.0,-3.0,1.0,4.0,0.0,5.19,11.35,100.0
-0.75,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,1.0,2.0,0.0,6.72,11.38,100.0
-0.75,1.0,0.5,60000.0,0.06,0.06,1.0,1.0,0.2,0.1,0.005,10.0,10.0,0.002,,0.5,0.0,2.0,-3.0,1.0,4.0,0.0,6.950000000000001,11.05,100.0
