vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,0.9,0.0,63.949999999999996,63.6,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,1.0,0.0,60.309999999999995,57.91,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,1.1,0.0,68.37,66.07,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,0.9,0.0,70.52000000000001,69.34,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,1.0,0.0,61.870000000000005,61.16,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,1.1,0.0,69.66,68.57,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,5.0,0.9,0.0,56.08,55.07,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,5.0,1.0,0.0,62.44,62.62,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.01,0.004,1.0,0.0,1.8,-1.8,1.0,5.0,1.1,0.0,68.33,68.0,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,0.9,0.0,63.949999999999996,63.6,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,1.0,0.0,60.309999999999995,57.91,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,3.0,1.1,0.0,68.37,66.07,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,0.9,0.0,70.52000000000001,69.34,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,1.0,0.0,61.870000000000005,61.16,100.0
0.0,0.5,0.5,60000.0,0.03,0.09,1.0,1.0,0.2,0.0,0.005,50.0,10.0,0.002,0.004,1.0,0.0,1.8,-1.8,1.0,4.0,1.1,0.0,69.66,68.57,100.0
