vprog,amp_neuron,vth,input_nbr,tau_in,tau_out,lr,iterations,presentation_time,pause_time,dt,n_neurons,inhibition_time,tau_ref_in,tau_ref_out,inc_n,tau_n,synapse_layer_1,winit_max,vprog_increment,voltage_clip_max,voltage_clip_min,Vapp_multiplier,gain_in,bias_in,noise_input,accuracy,accuracy_2,seed
0.0,0.5,0.5,60000.0,0.1,0.06,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.85,0.0,52.09,51.28,100.0
0.0,0.5,0.5,60000.0,0.1,0.06,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.9,0.0,52.470000000000006,57.06,100.0
0.0,0.5,0.5,60000.0,0.1,0.06,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,50.93,51.54,100.0
0.0,0.5,0.5,60000.0,0.1,0.06,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.9,0.0,54.84,55.23,100.0
0.0,0.5,0.5,60000.0,0.1,0.06,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.85,0.0,55.84,59.23,100.0
0.0,0.5,0.5,60000.0,0.1,0.06,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,4.0,0.9,0.0,57.269999999999996,58.47,100.0
0.0,0.75,0.5,60000.0,0.1,0.06,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.85,0.0,65.86,63.48,100.0
0.0,0.75,0.5,60000.0,0.1,0.06,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.0,0.9,0.0,61.39,62.42,100.0
0.0,0.75,0.5,60000.0,0.1,0.06,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.85,0.0,65.24,66.7,100.0
0.0,0.75,0.5,60000.0,0.1,0.06,1.0,1.0,0.2,0.1,0.005,50.0,10.0,0.005,0.005,0.01,1.0,0.004,1.0,0.0,1.8,-1.5,1.0,3.5,0.9,0.0,69.57,70.26,100.0
